t,simElapsedSec,round,fpsAvg,fpsMin,fpsMax,frameMsAvg,frameMsMax,frameCount,cpu.simMsAvg,cpu.syncMsAvg,cpu.renderMsAvg,gpuMsAvg,renderer.calls,renderer.triangles,renderer.lines,renderer.points,renderer.geometries,renderer.textures,renderer.programs,scene.totalObjects,scene.visibleMeshes,scene.hiddenMeshes,scene.lights,scene.shadowCastingLights,game.viewedPlayer,game.viewedCreeps,game.viewedTowers,game.allArenasCreeps,game.allArenasTowers,game.humanoidAnimating,game.lightningArcsActive,game.poisonBubblesActive,memory.usedMB,memory.totalMB,memory.limitMB
735.4473000000045,1657.2,56,4,4,4,250,250,3,2.33333333581686,11.56666666517655,87.26666666815679,,7935,318522,0,0,157706,2106,14,79480,64745,5073,3,1,1,8,317,52,1585,0,0,125,1010.5730276107788,1049.376296043396,4192
736.410700000003,1658.4,56,4,4,4,250,250,3,3.5666666701436043,11.699999998013178,85.2000000004967,,7920,318066,0,0,157714,2110,14,79415,64701,5072,3,1,1,6,317,42,1585,0,0,54,1005.0417432785034,1053.3469915390015,4192
737.3823000000044,1659.6,56,4,4,4,250,250,3,1.633333332836628,12.433333332339922,85.60000000397365,,7931,318974,0,0,157783,2115,14,79492,64761,5073,3,1,1,8,317,50,1585,0,0,19,1000.6225996017456,1053.8814764022827,4192
738.347700000003,1661.2,56,4,4,4,250,250,4,2.000000001862645,12.224999999627471,86.72499999962747,,7938,319116,0,0,157890,2120,14,79536,64793,5073,3,1,1,9,317,56,1585,0,0,28,1002.4583234786987,1055.909972190857,4192
739.6523999999985,1662.4,56,4,4,4,250,250,3,2.266666663189729,11.766666668156782,87.06666666517656,,7944,319210,0,0,157901,2124,14,79529,64788,5073,3,1,1,10,317,55,1585,0,0,45,996.5886640548706,1057.283179283142,4192
740.6233999999985,1663.6,56,4,4,4,250,250,3,1.866666664679845,11.633333335320154,84.19999999801318,,7929,318732,0,0,157910,2127,14,79515,64778,5073,3,1,1,7,317,53,1585,0,0,27,1016.591555595398,1057.3888998031616,4192
741.5893999999985,1664.8,56,4,4,4,250,250,3,2.100000001490116,12.233333331843218,84.5,,7938,319160,0,0,157922,2133,14,79648,64873,5073,3,1,1,11,317,72,1585,0,0,26,1010.3533735275269,1058.8180150985718,4192
742.5586000000014,1666,56,4,4,4,250,250,3,1.7666666681567829,10.700000000496706,86.19999999801318,,7902,317442,0,0,157930,2137,14,79417,64708,5073,3,1,1,0,317,39,1585,0,0,17,999.9120931625366,1059.4464559555054,4192
743.527,1667.2,56,4,4,4,250,250,3,1.4666666661699612,9.766666668156782,87.89999999850988,,7902,317442,0,0,157935,2138,14,79431,64718,5073,3,1,1,0,317,41,1585,0,0,10,1018.6786260604858,1059.5216054916382,4192
744.496,1668.4,56,4,4,4,250,250,3,1.7999999995032947,9.59999999900659,84.60000000149012,,7902,317442,0,0,157940,2139,14,79445,64728,5073,3,1,1,0,317,43,1585,0,0,24,1007.6092481613159,1060.3450002670288,4192
745.4481000000015,1669.6,56,4,4,4,250,250,3,1.5333333338300388,9.299999999503294,83.93333333233993,,7902,317442,0,0,157940,2139,14,79445,64728,5073,3,1,1,0,317,43,1585,0,0,18,994.8050222396851,1061.1360692977905,4192
746.3963999999985,1670.8,56,4,4,4,250,250,3,1.5,9.166666669150194,84.46666666368644,,7902,317442,0,0,157945,2140,14,79268,64604,5072,3,1,1,0,317,17,1585,0,0,4,1013.1754140853882,1061.2929754257202,4192
747.3488999999985,1672.4,56,4,4,4,250,250,4,1.074999999254942,8.449999999254942,84.82500000111759,,7902,317442,0,0,157950,2141,14,79187,64546,5073,3,1,1,0,317,5,1585,0,0,16,1003.7036581039429,1062.2213125228882,4192
748.6178999999985,1673.6,56,4,4,4,250,250,3,1.1666666616996129,8.300000001986822,89.83333333333333,,7754,310886,0,0,158591,2143,14,79159,64526,5073,3,1,2,0,317,1,1585,0,0,2,1019.8332357406616,1062.2606573104858,4192
749.5853000000045,1674.8,56,4,4,4,250,250,3,1.0333333313465118,7.799999999503295,85.50000000248353,,7760,310980,0,0,158596,2144,14,79180,64541,5073,3,1,2,1,317,4,1585,0,0,12,1006.8801794052124,1062.7868871688843,4192
750.5235,1676,56,4,4,4,250,250,3,0.7666666656732559,7.333333333333333,83.69999999801318,,7754,310886,0,0,158596,2144,14,79152,64521,5073,3,1,2,0,317,0,1585,0,0,0,1020.6521940231323,1062.7868871688843,4192
751.510700000003,1677.2,56,4,4,4,250,250,3,0.8999999985098839,8.000000004967054,84.40000000347693,,7754,310886,0,0,158596,2144,14,79152,64521,5073,3,1,2,0,317,0,1585,0,0,0,1006.2658681869507,1064.5368871688843,4192
752.4588999999985,1678.4,56,4,4,4,250,250,3,0.8666666646798452,7.799999999503295,84.53333333383004,,7754,310886,0,0,158598,2145,14,79152,64521,5073,3,1,2,0,317,0,1585,0,0,0,1020.5999174118042,1064.5718603134155,4192
753.4023000000045,1679.6,56,4,4,4,250,250,3,1,7.933333332339923,84.76666666567326,,7754,310886,0,0,158605,2147,14,79159,64526,5073,3,1,2,0,317,1,1585,0,0,7,1003.5834226608276,1064.6112051010132,4192
754.347,1681.2,56,4,4,4,250,250,4,1.200000001117587,8.099999997764826,98,,7754,310886,0,0,158614,2150,14,79173,64536,5073,3,1,2,0,317,3,1585,0,0,8,1025.004729270935,1064.9180364608765,4192
755.9658000000045,1682,57,4,4,4,250,250,2,130.44999999925494,14.25,86.15000000223517,,7754,310886,0,0,158614,2150,14,79173,64536,5073,3,1,2,0,317,3,1585,0,0,6,770.3501853942871,886.7165184020996,4192
756.6288000000045,1683.2,57,4,4,4,250,250,3,2.266666665673256,28.5,88.30000000198682,,7959,316906,0,0,159031,2154,14,79538,64883,5057,3,1,2,4,317,20,1585,0,0,43,786.6317796707153,903.9488611221313,4192
757.65,1684.4,57,4,4,4,250,250,3,2.33333333581686,18.69999999801318,91.00000000248353,,7895,317070,0,0,159336,2160,14,79707,64994,5073,3,1,2,8,317,41,1585,0,0,80,794.0307626724243,922.2823877334595,4192
758.6416000000015,1685.6,57,4,4,4,250,250,3,3.0666666651765504,12.59999999900659,87.43333333730698,,7879,316332,0,0,159417,2165,14,79742,65011,5073,3,1,2,9,317,50,1585,0,0,96,791.830961227417,923.3183040618896,4192
759.636,1686.8,57,4,4,4,250,250,3,2.33333333581686,11.59999999900659,86.39999999850988,,7863,315560,0,0,159454,2169,14,79775,65030,5073,3,1,2,9,317,57,1585,0,0,115,801.2249546051025,923.6234722137451,4192
760.6093000000045,1688,57,4,4,4,250,250,3,2,11.83333333581686,87.0666666701436,,7836,314800,0,0,159464,2174,14,79745,65011,5072,3,1,2,5,317,52,1585,0,0,45,793.2115573883057,923.9627590179443,4192
761.5763000000045,1689.2,57,4,4,4,250,250,3,2.4333333348234496,13.133333332836628,86.06666666517656,,7842,315010,0,0,159482,2180,14,79789,65047,5072,3,1,2,6,317,56,1585,0,0,35,805.4208536148071,924.7276086807251,4192
762.55,1690.4,57,4,4,4,250,250,3,1.866666667163372,12.09999999900659,86.53333333383004,,7848,314988,0,0,159495,2185,14,79886,65115,5073,3,1,2,7,317,70,1585,0,0,32,796.4622430801392,925.0261163711548,4192
763.5336000000015,1691.6,57,4,4,4,250,250,3,2.133333332836628,11.866666669646898,91.9333333298564,,8107,327388,0,0,160335,2203,14,79835,65081,5072,3,1,3,17,317,62,1585,0,0,42,808.1265058517456,925.3062467575073,4192
764.5325,1692.8,57,4,4,4,250,250,3,3.0666666626930237,12.600000001490116,86.2000000004967,,8116,327910,0,0,160345,2208,14,79834,65079,5073,3,1,3,20,317,62,1585,0,0,15,803.3814687728882,941.6537809371948,4192
765.5377000000029,1694,57,4,4,4,250,250,3,1.733333334326744,10.56666666517655,85.66666666915019,,8122,328258,0,0,160351,2211,14,79736,65009,5073,3,1,3,22,317,48,1585,0,0,37,823.2284879684448,951.2711820602417,4192
766.531700000003,1695.2,57,4,4,4,250,250,3,2.1666666666666665,10.100000001490116,87.73333333184321,,8122,328258,0,0,160359,2215,14,79729,65008,5073,3,1,3,22,317,45,1585,0,0,21,815.1778860092163,958.0657529830933,4192
767.5118999999985,1696.4,57,4,4,4,250,250,3,1.733333334326744,9.800000001986822,87.09999999652307,,8119,328084,0,0,160367,2219,14,79712,64993,5073,3,1,3,21,317,44,1585,0,0,33,803.1257581710815,958.225115776062,4192
