t,simElapsedSec,round,fpsAvg,fpsMin,fpsMax,frameMsAvg,frameMsMax,frameCount,simDtMsAvg,cpu.simMsAvg,cpu.syncMsAvg,cpu.renderMsAvg,gpuMsAvg,renderer.calls,renderer.triangles,renderer.lines,renderer.points,renderer.geometries,renderer.textures,renderer.programs,scene.totalObjects,scene.visibleMeshes,scene.hiddenMeshes,scene.lights,scene.shadowCastingLights,game.viewedPlayer,game.viewedCreeps,game.viewedTowers,game.allArenasCreeps,game.allArenasTowers,game.humanoidAnimating,game.lightningArcsActive,game.poisonBubblesActive,memory.usedMB,memory.totalMB,memory.limitMB
43.09459999999404,147.25,5,14.799876752004993,11.990407673861748,15.015015015015344,67.7799999999998,83.39999999999418,15,67.7799999999998,0.08666666696468989,1.3466666668653489,8.97999999920527,,897,93752,0,0,804,19,14,3325,2631,215,3,1,3,17,13,29,67,35,0,0,62.82572937011719,98.99586486816406,4192
44.1135,151.25,5,15.001512748148388,14.9700598802405,15.015015015015344,66.6600000000001,66.79999999999563,15,66.6600000000001,0.1400000015894572,1.0599999999006589,8.980000000695387,,897,93454,0,0,804,19,14,3313,2620,215,3,1,3,17,13,28,67,33,0,0,45.55635070800781,98.92637634277344,4192
45.10869999999553,155.1,6,14.572120991900311,12.004801920767887,15.015015015015344,69.04285714285705,83.30000000000291,14,69.04285714285705,0.2071428575686046,2.514285713966404,10.078571427081313,,964,98160,0,0,845,18,14,3797,3018,237,3,1,3,16,15,34,75,27,0,0,44.06020450592041,99.9471788406372,4192
46.085,159.3,6,15.437656130503713,12.004801920767887,20,65.61875000000009,83.30000000000291,16,65.61875000000009,0.1500000013038516,1.5374999986961484,9.693750000558794,,972,59622,0,0,1127,23,14,3801,3001,250,3,1,4,6,17,30,78,29,0,0,37.68502998352051,102.0223217010498,4192
47.12269999999553,163.25,6,16.562974143558808,14.992503748124955,20,61.45625000000018,66.70000000000437,16,61.45625000000018,0.125,1.4500000001862645,9.725000000558794,,964,61630,0,0,1178,13,14,3878,3063,262,3,1,4,2,19,17,81,21,0,0,60.60393714904785,103.20210456848145,4192
48.10839999999851,167.1,6,16.87564797343774,14.97005988023887,20.04008016032298,60.41874999999982,66.80000000000291,16,60.41874999999982,0.11249999841675162,1.0687500014901161,10.262499999720603,,920,50830,0,0,1163,12,14,3850,3034,263,3,1,4,3,19,18,81,19,0,0,35.905001640319824,102.4589490890503,4192
49.068,171.15,6,17.059420010315186,14.992503748124955,20.04008016032298,59.80588235294143,66.70000000000437,17,59.80588235294143,0.10000000017530777,0.9588235301129958,9.3941176476724,,942,55346,0,0,1163,5,14,3825,3020,263,3,1,4,1,19,8,81,13,0,0,54.39055156707764,101.15017986297607,4192
50.08179999999702,175.1,6,17.650908249357116,14.97005988023887,20.04008016032298,57.83529411764689,66.80000000000291,17,57.83529411764689,0.11764705926179886,0.9058823528535226,9.217647059437107,,920,48778,0,0,1163,5,14,3825,3020,263,3,1,4,3,19,8,81,11,0,0,42.795143127441406,101.15028381347656,4192
51.07029999999702,179.1,6,17.35398802516894,14.992503748124955,20.040080160320056,58.8235294117647,66.70000000000437,17,58.8235294117647,0.1058823518893298,0.8294117661083446,9.129411763566381,,900,42520,0,0,1163,2,13,3813,3014,263,3,1,4,0,19,2,81,3,0,0,62.544593811035156,101.15028381347656,4192
52.06019999999553,183.1,7,17.352954560849447,14.992503748124955,20.040080160320056,58.8235294117647,66.70000000000437,17,58.8235294117647,0.1058823518893298,1.4823529426665867,9.511764704304582,,1004,51496,0,0,1165,7,14,4202,3341,268,3,1,4,5,20,17,86,9,0,0,62.2581901550293,102.03619766235352,4192
53.08339999999851,187.1,7,16.25141258199727,14.992503748124955,20,62.49375000000009,66.70000000000437,16,62.49375000000009,0.15625000093132257,1.8062499999068677,10.193750000093132,,977,55436,0,0,1218,8,14,4274,3359,294,3,1,4,6,22,24,91,25,0,0,60.5782585144043,102.27261352539062,4192
54.0785,191.25,7,15.625483975388425,14.9700598802405,20,64.58124999999973,66.79999999999563,16,64.58124999999973,0.1124999993480742,1.4687499995343387,10.075000001117587,,998,70862,0,0,1249,6,14,4317,3391,303,3,1,4,4,23,17,93,25,0,0,50.01761341094971,102.44253253936768,4192
55.10279999999702,195.25,7,16.253612906113847,14.9700598802405,20.040080160320056,62.49375000000009,66.79999999999563,16,62.49375000000009,0.11875000037252903,1.1749999998137355,10.162500000093132,,941,52984,0,0,1564,6,14,4379,3451,304,3,1,5,2,20,6,95,9,0,0,38.87517738342285,102.6424503326416,4192
56.1085,199.25,7,17.352958525496668,14.9700598802405,20.040080160320056,58.8235294117647,66.79999999999563,17,58.8235294117647,0.09999999929876889,0.9529411770841655,9.358823529499418,,926,46496,0,0,1564,3,14,4367,3440,306,3,1,5,1,20,3,95,8,0,0,59.98519706726074,102.61016273498535,4192
57.10629999999702,203.25,7,17.469427164700818,12.004801920768937,20.04008016032298,58.8235294117647,83.29999999999563,17,58.8235294117647,0.10588235232759924,0.8411764717277359,9.547058823354105,,926,44444,0,0,1564,3,14,4365,3439,306,3,1,5,1,20,2,95,3,0,0,47.80088806152344,102.56460189819336,4192
58.10779999999702,207.3,7,17.05868668564851,14.992503748124955,20,59.79999999999991,66.70000000000437,17,59.79999999999991,0.11176470360335182,0.917647060664261,9.588235293679377,,928,48582,0,0,1564,4,14,4371,3442,306,3,1,5,2,20,5,95,8,0,0,68.00204086303711,102.56460189819336,4192
59.113,211.25,7,17.647503752098473,14.992503748124955,20,57.84117647058841,66.70000000000437,17,57.84117647058841,0.10588235320413814,0.88235294161474,9.200000000350615,,910,42358,0,0,1564,2,13,4361,3437,306,3,1,5,0,20,0,95,2,0,0,55.89511489868164,102.56460189819336,4192
60.09809999999404,215.25,8,16.374259295555504,11.990407673860702,20,62.5,83.40000000000146,16,62.5,0.10000000055879354,2.056250000372529,9.768749999348074,,988,55528,0,0,1533,9,14,4773,3761,321,3,1,5,7,20,29,101,21,0,0,58.6945686340332,103.66830825805664,4192
61.098599999994036,219.3,8,15.93955212213464,14.992503748124955,20.04008016032298,63.53749999999991,66.70000000000437,16,63.53749999999991,0.15000000083819032,1.9999999990686774,10.09375,,970,70094,0,0,1513,11,14,4862,3818,337,3,1,5,9,20,23,106,36,0,0,46.47875118255615,104.51521968841553,4192
62.12219999999553,223.1,8,16.000021162980484,14.97005988023887,20.040080160320056,63.33333333333382,66.80000000000291,15,63.33333333333382,0.11333333402872085,1.3200000007947286,9.719999999801319,,960,59928,0,0,1513,6,14,4894,3844,345,3,1,5,4,20,9,108,12,0,0,63.88844299316406,104.53969955444336,4192
63.0775,227.25,8,16.766493686266607,14.97005988023887,20.040080160317135,60.77647058823512,66.80000000000291,17,60.77647058823512,0.10588235232759924,0.9470588231787962,9.800000000525923,,943,47184,0,0,1513,4,14,4880,3837,345,3,1,5,2,20,2,108,4,0,0,51.89329147338867,104.46865463256836,4192
64.10619999999552,231.1,8,16.873447649320916,14.992503748126591,20,60.41874999999982,66.69999999999709,16,60.41874999999982,0.13750000018626451,1,9.568749998696148,,930,48938,0,0,1513,4,14,4888,3841,345,3,1,5,2,20,6,108,11,0,0,68.66678428649902,104.46874809265137,4192
65.0658999999985,235.1,8,16.249244914277266,14.97005988023887,20,62.493749999999636,66.80000000000291,16,62.493749999999636,0.11875000037252903,0.8875000001862645,10.743749998509884,,1160,47346,0,0,2053,2,13,4876,3814,366,3,1,1,0,41,0,108,0,0,0,55.39475631713867,104.46879577636719,4192
66.06919999999553,239.2,8,15.938766722155048,9.990009990009408,20.04008016032298,64.58125000000018,100.10000000000582,16,64.58125000000018,0.11249999888241291,0.9062500018626451,10.656249999068677,,1174,51450,0,0,2053,2,13,4884,3818,366,3,1,1,0,41,4,108,8,0,0,40.246822357177734,104.46879577636719,4192
